BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
67,33,7,12,0,8,0,82,45
50,49,12,8,0,8,0,70,57
51,46,15,8,0,7,0,73,54
55,48,7,11,0,6,0,68,59
52,47,10,13,0,5,0,67,60
56,40,7,15,0,9,0,72,55
58,49,4,8,0,8,0,70,57
57,41,8,14,0,7,0,72,55
53,46,11,10,0,7,0,71,56
54,44,9,9,0,11,0,74,53
56,48,9,9,0,5,0,70,57
58,46,7,10,0,6,0,71,56
54,45,8,9,0,11,0,73,54
50,51,10,10,0,6,0,66,61
57,35,12,14,0,9,0,78,49
47,52,12,6,0,10,0,69,58
48,52,8,13,0,6,0,62,65
44,50,9,15,0,9,0,62,65
53,50,6,11,0,7,0,66,61
47,50,11,12,0,7,0,65,62
57,44,11,9,0,6,0,74,53
45,50,13,10,0,9,0,67,60
60,38,11,12,0,6,0,77,50
49,48,10,14,0,6,0,65,62
44,48,10,17,0,8,0,62,65
62,40,12,8,0,5,0,79,48
56,47,11,7,0,6,0,73,54
48,51,15,8,0,5,0,68,59
56,47,8,9,0,7,0,71,56
51,47,8,14,0,7,0,66,61
56,39,15,11,0,6,0,77,50
47,53,6,13,0,8,0,61,66
56,40,12,12,0,7,0,75,52
